COURSECODE,COURSENAME,COURSENAMEENG,CREDITTOTAL
SC313002,หลักการออกแบบพัฒนาซอฟต์แวร์,PRINCIPLES OF SOFTWARE DESIGN AND DEVELOPMENT,3
SC313003,การวิเคราะห์และออกแบบระบบ,SYSTEM ANALYSIS AND DESIGN,3
SC313004,วิศวกรรมซอฟต์แวร์,SOFTWARE ENGINEERING,3
SC313005,ทฤษฎีการคำนวณ,THEORY OF COMPUTATION,3
SC313006,ปัญญาประดิษฐ์,ARTIFICIAL INTELLIGENCE,3
SC313101,วิทยาการคำนวณ,COMPUTATIONAL SCIENCE,3
SC313102,โครงข่ายประสาท,NEURAL NETWORKS,3
SC313103,การวิเคราะห์วิทยาข้อมูลและการทำเหมืองข้อมูล,DATA ANALYTICS AND MINING,3
SC313107,การวิเคราะห์ข้อมูลขนาดใหญ่,BIG DATA ANALYTICS,3
SC313201,การประมวลผลภาพดิจิทัล,DIGITAL IMAGE PROCESSING,3
SC313302,การเชื่อมต่ออินเตอร์เน็ต,INTERNETWORKING,3
SC313403,ความมั่นคงสารสนเทศและไซเบอร์,INFORMATION AND CYBER SECURITY,3
SC313504,การประกันคุณภาพซอฟต์แวร์,SOFTWARE QUALITY ASSURANCE,3
SC313506,พื้นฐานการทวนสอบเชิงรูปนัย,FUNDAMENTALS OF FORMAL VERIFICATION,3
SC313761,สัมมนาทางวิทยาการคอมพิวเตอร์,SEMINAR IN COMPUTER SCIENCE,1
SC313762,ระเบียบวิธีวิจัย,RESEARCH METHODOLOGY,3
SC314774,โครงงานวิทยาการคอมพิวเตอร์ 1,COMPUTER SCIENCE PROJECT I,3
SC314775,โครงงานวิทยาการคอมพิวเตอร์ 2,COMPUTER SCIENCE PROJECT II,3
SC314785,สหกิจศึกษาทางวิทยาการคอมพิวเตอร์,CO-OPERATIVE EDUCATION IN COMPUTER SCIENCE,6
SC322301,ตรรกะดิจิทัลและระบบฝังตัว,DIGITAL LOGIC AND EMBEDDED SYSTEMS,3
SC331001,หลักมูลภูมิสารสนเทศศาสตร์,FUNDAMENTALS OF GEO-INFORMATICS,3
SC331021,เทคโนโลยีสารสนเทศขั้นพื้นฐาน,BASICS OF INFORMATION TECHNOLOGY,3
SC331031,ธรณีวิทยาขั้นแนะนำ,INTRODUCTION TO GEOLOGY,2
SC331032,ภูมิศาสตร์กายภาพ,"PHYSICAL GEOGRAPHY_x000D_
PHYSICAL",3
